ID,Movie Name,Rating,Genre,Votes
251,The Sixth Sense,8.2,"Drama, Mystery, Thriller",1012611
252,Die Hard,8.2,"Action, Thriller",902720
253,Downfall,8.2,"Biography, Drama, History",362921
254,Gone with the Wind,8.2,"Drama, Romance, War",322916
255,Pan's Labyrinth,8.2,"Drama, Fantasy, War",681881
256,V for Vendetta,8.2,"Action, Drama, Sci-Fi",1142355
257,L.A. Confidential,8.2,"Crime, Drama, Mystery",593952
258,Chinatown,8.2,"Drama, Mystery, Thriller",335294
259,Some Like It Hot,8.2,"Comedy, Music, Romance",273608
260,Monty Python and the Holy Grail,8.2,"Adventure, Comedy, Fantasy",552661
261,The Great Escape,8.2,"Adventure, Drama, History",249877
262,Dial M for Murder,8.2,"Crime, Thriller",180933
263,Demon Slayer the Movie: Mugen Train,8.2,"Animation, Action, Adventure",64867
264,The Secret in Their Eyes,8.2,"Drama, Mystery, Romance",214466
265,The Elephant Man,8.2,"Biography, Drama",248355
266,Ran,8.2,"Action, Drama, War",129541
267,For a Few Dollars More,8.2,"Drama, Western",263255
268,Drishyam 2,8.2,"Crime, Drama, Mystery",37468
269,Tumbbad,8.2,"Drama, Fantasy, Horror",53275
270,Klaus,8.2,"Animation, Adventure, Comedy",166823
271,The Treasure of the Sierra Madre,8.2,"Adventure, Drama, Western",128151
272,Drishyam,8.2,"Crime, Drama, Mystery",88862
273,All About Eve,8.2,Drama,134287
274,Gangs of Wasseypur,8.2,"Action, Comedy, Crime",99488
275,Yojimbo,8.2,"Action, Drama, Thriller",126080
276,Rashomon,8.2,"Crime, Drama, Mystery",173025
277,Z,8.2,"Crime, Drama, Thriller",30045
278,To Be or Not to Be,8.2,"Comedy, Romance, War",39771
279,Miracle in Cell No. 7,8.2,Drama,51841
280,Vikram Vedha,8.2,"Action, Crime, Drama",47835
281,Zindagi Na Milegi Dobara,8.2,"Comedy, Drama, Musical",81588
282,Tokyo Story,8.2,Drama,64275
283,Children of Heaven,8.2,"Drama, Family, Sport",76899
284,Satantango,8.2,Drama,11864
285,Andhadhun,8.2,"Crime, Mystery, Thriller",97392
286,The Wages of Fear,8.2,"Adventure, Drama, Thriller",63299
287,Pather Panchali,8.2,Drama,35145
288,It's Such a Beautiful Day,8.2,"Animation, Comedy, Drama",14865
289,Baahubali 2: The Conclusion,8.2,"Action, Drama",107028
290,Swades,8.2,"Drama, Musical",93723
291,Close-Up,8.2,"Biography, Crime, Drama",21291
292,The Passion of Joan of Arc,8.2,"Biography, Drama, History",57439
293,K.G.F: Chapter 1,8.2,"Action, Crime, Drama",91827
294,My Father and My Son,8.2,"Drama, Family",88454
295,Sherlock Jr.,8.2,"Action, Comedy, Romance",52628
